Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Russia,61.524,105.3188,2020-10-01,1185231,20891,964242,200098,Europe
,Russia,61.524,105.3188,2020-11-01,1624848,28006,1222673,374169,Europe
,Russia,61.524,105.3188,2020-12-01,2295654,39895,1789714,466045,Europe
,Russia,61.524,105.3188,2021-01-01,3159297,56976,2546487,555834,Europe
,Russia,61.524,105.3188,2021-02-01,3825739,72456,3274291,478992,Europe
,Russia,61.524,105.3188,2021-03-01,4209850,85304,3783478,341068,Europe
,Russia,61.524,105.3188,2021-04-01,4501869,97479,4120161,284229,Europe
,Russia,61.524,105.3188,2021-05-01,4757175,108588,4388008,260579,Europe
,Russia,61.524,105.3188,2021-06-01,5018080,119690,4637699,260691,Europe
,Russia,61.524,105.3188,2021-07-01,5464294,133592,4964270,366432,Europe
,Russia,61.524,105.3188,2021-08-01,6218502,156726,5568363,493413,Europe
,Russia,61.524,105.3188,2021-09-01,6824540,180041,6092818,551681,Europe
,Russia,61.524,105.3188,2021-10-01,7436952,204642,6616086,616224,Europe
,Russia,61.524,105.3188,2021-11-01,8417305,235658,7292275,889372,Europe
,Russia,61.524,105.3188,2021-12-01,9536825,271613,8245591,1019621,Europe
,France,46.2276,2.2137,2020-01-22,0,0,0,0,Europe
,France,46.2276,2.2137,2020-03-01,130,2,12,116,Europe
,France,46.2276,2.2137,2020-04-01,57749,4043,11055,42651,Europe
,France,46.2276,2.2137,2020-05-01,167305,24597,50328,92380,Europe
,France,46.2276,2.2137,2020-06-01,189220,28805,68453,91962,Europe
,France,46.2276,2.2137,2020-07-01,204222,29864,76450,97908,Europe
,France,46.2276,2.2137,2020-08-01,225198,30268,81764,113166,Europe
,France,46.2276,2.2137,2020-09-01,319488,30641,86737,202110,Europe
,France,46.2276,2.2137,2020-10-01,605703,32034,97892,475777,Europe
,France,46.2276,2.2137,2020-11-01,1413915,36826,117621,1259468,Europe
,France,46.2276,2.2137,2020-12-01,2275677,52821,168683,2054173,Europe
,France,46.2276,2.2137,2021-01-01,2697014,64759,198642,2433613,Europe
,France,46.2276,2.2137,2021-02-01,3267789,76192,231572,2960025,Europe
,France,46.2276,2.2137,2021-03-01,3760671,86829,258120,3415722,Europe
,France,46.2276,2.2137,2021-04-01,4695082,95976,296180,4302926,Europe
,France,46.2276,2.2137,2021-05-01,5616689,104506,345890,5166293,Europe
,France,46.2276,2.2137,2021-06-01,5677172,109662,389400,5178110,Europe
,France,46.2276,2.2137,2021-07-01,5776510,111112,410200,5255198,Europe
,France,46.2276,2.2137,2021-08-01,6146619,111885,426900,5607834,Europe
,France,46.2276,2.2137,2021-09-01,6773488,114497,448000,6210991,Europe
,France,46.2276,2.2137,2021-10-01,7018367,116713,465000,6436654,Europe
,France,46.2276,2.2137,2021-11-01,7163489,117763,480000,6565726,Europe
,France,46.2276,2.2137,2021-12-01,7689956,119225,502000,7068731,Europe
,United Kingdom,55.3781,-3.436,2020-01-22,0,0,0,0,Europe
,United Kingdom,55.3781,-3.436,2020-03-01,36,0,8,28,Europe
,United Kingdom,55.3781,-3.436,2020-04-01,29474,2352,135,26987,Europe
,United Kingdom,55.3781,-3.436,2020-05-01,177454,27510,859,149085,Europe
,United Kingdom,55.3781,-3.436,2020-06-01,276332,39045,1202,236085,Europe
,United Kingdom,55.3781,-3.436,2020-07-01,313483,43906,1373,268204,Europe
,United Kingdom,55.3781,-3.436,2020-08-01,303952,46193,1440,256319,Europe
,United Kingdom,55.3781,-3.436,2020-09-01,337168,41501,1715,293952,Europe
,United Kingdom,55.3781,-3.436,2020-10-01,453256,42143,2250,408863,Europe
,United Kingdom,55.3781,-3.436,2020-11-01,1011660,46717,2810,962133,Europe
,United Kingdom,55.3781,-3.436,2020-12-01,1643086,59051,3580,1580455,Europe
,United Kingdom,55.3781,-3.436,2021-01-01,2488780,73512,5690,2409578,Europe
,United Kingdom,55.3781,-3.436,2021-02-01,3835783,106564,9540,3719679,Europe
,United Kingdom,55.3781,-3.436,2021-03-01,4182009,122849,12400,4046760,Europe
,United Kingdom,55.3781,-3.436,2021-04-01,4347012,126713,14800,4205500,Europe
,United Kingdom,55.3781,-3.436,2021-05-01,4418530,127524,15200,4275806,Europe
,United Kingdom,55.3781,-3.436,2021-06-01,4490438,127782,15600,4347056,Europe
,United Kingdom,55.3781,-3.436,2021-07-01,4828463,128140,16100,4684223,Europe
,United Kingdom,55.3781,-3.436,2021-08-01,5880667,129719,17000,5733948,Europe
,United Kingdom,55.3781,-3.436,2021-09-01,6825074,132742,18200,6674132,Europe
,United Kingdom,55.3781,-3.436,2021-10-01,7841625,136662,19800,7685163,Europe
,United Kingdom,55.3781,-3.436,2021-11-01,9097652,140672,21500,8935480,Europe
,United Kingdom,55.3781,-3.436,2021-12-01,10276020,145140,24000,10106880,Europe
,Germany,51.1657,10.4515,2020-01-22,0,0,0,0,Europe
,Germany,51.1657,10.4515,2020-03-01,130,0,16,114,Europe
,Germany,51.1657,10.4515,2020-04-01,77872,931,19175,57766,Europe
,Germany,51.1657,10.4515,2020-05-01,163009,6623,126900,29486,Europe
,Germany,51.1657,10.4515,2020-06-01,183410,8540,165000,9870,Europe
,Germany,51.1657,10.4515,2020-07-01,195893,9003,179800,7090,Europe
,Germany,51.1657,10.4515,2020-08-01,210697,9154,193500,8043,Europe
,Germany,51.1657,10.4515,2020-09-01,244802,9302,219000,16500,Europe
,Germany,51.1657,10.4515,2020-10-01,294391,9508,259000,25883,Europe
,Germany,51.1657,10.4515,2020-11-01,532930,10485,355000,167445,Europe
,Germany,51.1657,10.4515,2020-12-01,1084743,16636,770000,298107,Europe
,Germany,51.1657,10.4515,2021-01-01,1762637,34145,1380000,348492,Europe
,Germany,51.1657,10.4515,2021-02-01,2225659,57934,1950000,217725,Europe
,Germany,51.1657,10.4515,2021-03-01,2448651,70500,2260000,118151,Europe
,Germany,51.1657,10.4515,2021-04-01,2843644,76600,2540000,227044,Europe
,Germany,51.1657,10.4515,2021-05-01,3405370,83100,3020000,302270,Europe
,Germany,51.1657,10.4515,2021-06-01,3689921,88600,3480000,121321,Europe
,Germany,51.1657,10.4515,2021-07-01,3734103,90900,3610000,33203,Europe
,Germany,51.1657,10.4515,2021-08-01,3773875,91600,3670000,12275,Europe
,Germany,51.1657,10.4515,2021-09-01,3963400,92200,3750000,121200,Europe
,Germany,51.1657,10.4515,2021-10-01,4237600,93700,3980000,163900,Europe
,Germany,51.1657,10.4515,2021-11-01,4581400,95800,4210000,275600,Europe
,Germany,51.1657,10.4515,2021-12-01,5953400,102100,5010000,841300,Europe
,China,35.8617,104.1954,2020-01-22,548,17,28,503,Western Pacific
,China,35.8617,104.1954,2020-02-15,68500,1665,9419,57416,Western Pacific
,China,35.8617,104.1954,2020-03-01,79968,2873,41825,35270,Western Pacific
,China,35.8617,104.1954,2020-04-01,82361,3312,76408,2641,Western Pacific
,China,35.8617,104.1954,2020-05-01,83959,4637,78523,799,Western Pacific
,China,35.8617,104.1954,2020-06-01,84154,4638,79398,118,Western Pacific
,China,35.8617,104.1954,2020-07-01,84816,4641,79639,536,Western Pacific
,China,35.8617,104.1954,2020-08-01,88099,4677,81657,1765,Western Pacific
,China,35.8617,104.1954,2020-09-01,90432,4736,85002,694,Western Pacific
,China,35.8617,104.1954,2020-10-01,90977,4739,85684,554,Western Pacific
,China,35.8617,104.1954,2020-11-01,91880,4742,86550,588,Western Pacific
,China,35.8617,104.1954,2020-12-01,93040,4745,87600,695,Western Pacific
,China,35.8617,104.1954,2021-01-01,96010,4782,90120,1108,Western Pacific
,China,35.8617,104.1954,2021-02-01,100060,4833,94210,1017,Western Pacific
,China,35.8617,104.1954,2021-03-01,101850,4842,96500,508,Western Pacific
,China,35.8617,104.1954,2021-04-01,102700,4846,97320,534,Western Pacific
,China,35.8617,104.1954,2021-05-01,103600,4846,98240,514,Western Pacific
,China,35.8617,104.1954,2021-06-01,104800,4846,99310,644,Western Pacific
,China,35.8617,104.1954,2021-07-01,105900,4846,100340,714,Western Pacific
,China,35.8617,104.1954,2021-08-01,107200,4846,101400,954,Western Pacific
,China,35.8617,104.1954,2021-09-01,108500,4846,102800,854,Western Pacific
,China,35.8617,104.1954,2021-10-01,109700,4846,104100,754,Western Pacific
,China,35.8617,104.1954,2021-11-01,111200,4846,105600,754,Western Pacific
,China,35.8617,104.1954,2021-12-01,113000,4846,107200,954,Western Pacific
,Australia,-25.2744,133.7751,2020-01-22,0,0,0,0,Western Pacific
,Australia,-25.2744,133.7751,2020-03-01,27,1,11,15,Western Pacific
,Australia,-25.2744,133.7751,2020-04-01,4861,20,420,4421,Western Pacific
,Australia,-25.2744,133.7751,2020-05-01,6767,93,5734,940,Western Pacific
,Australia,-25.2744,133.7751,2020-06-01,7204,103,6614,487,Western Pacific
,Australia,-25.2744,133.7751,2020-07-01,7920,104,7074,742,Western Pacific
,Australia,-25.2744,133.7751,2020-08-01,17282,201,10121,6960,Western Pacific
,Australia,-25.2744,133.7751,2020-09-01,25928,663,21773,3492,Western Pacific
,Australia,-25.2744,133.7751,2020-10-01,27096,888,24669,1539,Western Pacific
,Australia,-25.2744,133.7751,2020-11-01,27590,907,25064,1619,Western Pacific
,Australia,-25.2744,133.7751,2020-12-01,27912,908,25514,1490,Western Pacific
,Australia,-25.2744,133.7751,2021-01-01,28425,909,25760,1756,Western Pacific
,Australia,-25.2744,133.7751,2021-02-01,28818,909,26055,1854,Western Pacific
,Australia,-25.2744,133.7751,2021-03-01,28978,909,26245,1824,Western Pacific
,Australia,-25.2744,133.7751,2021-04-01,29322,909,26410,2003,Western Pacific
,Australia,-25.2744,133.7751,2021-05-01,29801,910,26850,2041,Western Pacific
,Australia,-25.2744,133.7751,2021-06-01,30106,910,27200,1996,Western Pacific
,Australia,-25.2744,133.7751,2021-07-01,30686,910,27800,1976,Western Pacific
,Australia,-25.2744,133.7751,2021-08-01,34382,924,30100,3358,Western Pacific
,Australia,-25.2744,133.7751,2021-09-01,55093,1012,41200,12881,Western Pacific
,Australia,-25.2744,133.7751,2021-10-01,107171,1307,85400,20464,Western Pacific
,Australia,-25.2744,133.7751,2021-11-01,170000,1734,142000,26266,Western Pacific
,Australia,-25.2744,133.7751,2021-12-01,211600,2012,181000,28588,Western Pacific
,South Africa,-30.5595,22.9375,2020-01-22,0,0,0,0,Africa
,South Africa,-30.5595,22.9375,2020-03-01,0,0,0,0,Africa
,South Africa,-30.5595,22.9375,2020-04-01,1353,5,31,1317,Africa
,South Africa,-30.5595,22.9375,2020-05-01,5647,103,2073,3471,Africa
,South Africa,-30.5595,22.9375,2020-06-01,32683,683,16809,15191,Africa
,South Africa,-30.5595,22.9375,2020-07-01,151209,2657,73543,75009,Africa
,South Africa,-30.5595,22.9375,2020-08-01,493183,8005,326171,159007,Africa
,South Africa,-30.5595,22.9375,2020-09-01,627041,14149,543494,69398,Africa
,South Africa,-30.5595,22.9375,2020-10-01,674339,16734,608112,49493,Africa
,South Africa,-30.5595,22.9375,2020-11-01,725452,19276,654182,51994,Africa
,South Africa,-30.5595,22.9375,2020-12-01,792299,21615,732335,38349,Africa
,South Africa,-30.5595,22.9375,2021-01-01,1057161,28469,879671,149021,Africa
,South Africa,-30.5595,22.9375,2021-02-01,1453761,44399,1299620,109742,Africa
,South Africa,-30.5595,22.9375,2021-03-01,1513393,50002,1430259,33132,Africa
,South Africa,-30.5595,22.9375,2021-04-01,1548157,52846,1474346,20965,Africa
,South Africa,-30.5595,22.9375,2021-05-01,1581210,54350,1505360,21500,Africa
,South Africa,-30.5595,22.9375,2021-06-01,1665617,56601,1560000,49016,Africa
,South Africa,-30.5595,22.9375,2021-07-01,1973972,60647,1750000,163325,Africa
,South Africa,-30.5595,22.9375,2021-08-01,2447454,72013,2220000,155441,Africa
,South Africa,-30.5595,22.9375,2021-09-01,2777659,82261,2540000,155398,Africa
,South Africa,-30.5595,22.9375,2021-10-01,2904307,87625,2750000,66682,Africa
,South Africa,-30.5595,22.9375,2021-11-01,2922119,89179,2800000,32940,Africa
,South Africa,-30.5595,22.9375,2021-12-01,2976613,89915,2840000,46698,Africa
